C1, 22.23, 11.94, 270.00, 100n, C0805
C10, 45.21, 53.21, 0.00, 100n, C0805
C11, 19.05, 56.30, 270.00, 100n, C0805
C12, 30.42, 57.10, 0.00, 100n, C0805
C13, 37.55, 28.28, 180.00, 100n, C0805
C14, 45.21, 22.73, 0.00, 100n, C0805
C15, 19.05, 25.82, 270.00, 100n, C0805
C16, 30.51, 26.62, 0.00, 100n, C0805
C2, 13.67, 5.80, 90.00, 100n, C0805
C3, 29.13, 9.36, 180.00, 10uf, C0805
C4, 29.16, 6.56, 0.00, 10uf, C0805
C5, 37.59, 89.41, 180.00, 100n, C0805
C6, 45.21, 83.69, 0.00, 100n, C0805
C7, 19.02, 86.74, 270.00, 100n, C0805
C8, 30.46, 87.61, 0.00, 100n, C0805
C9, 37.59, 58.76, 180.00, 100n, C0805
D1, 29.21, 14.44, 180.00, , SOD123
D2, 29.21, 1.44, 0.00, , SOD123
FB1, 29.13, 11.88, 0.00, FERRITE_0805, _0805
FB2, 29.10, 3.83, 0.00, FERRITE_0805, _0805
IC1, 24.13, 90.55, 270.00, LM13700M, SO16
IC2, 39.37, 85.73, 270.00, TL072_SMD, SO08
IC3, 17.78, 10.16, 0.00, TL072_SMD, SO08
IC4, 24.13, 60.07, 270.00, LM13700M, SO16
IC5, 39.37, 55.25, 270.00, TL072_SMD, SO08
IC6, 24.13, 29.59, 270.00, LM13700M, SO16
IC7, 39.37, 24.77, 270.00, TL072_SMD, SO08
R1, 13.97, 90.68, 0.00, 47k, R0805
R10, 6.35, 97.79, 270.00, 47k, R0805
R11, 13.97, 88.31, 0.00, 30k, R0805
R12, 6.35, 82.55, 90.00, 47k, R0805
R13, 46.05, 87.10, 270.00, 220k, R0805
R14, 30.48, 85.43, 180.00, 220k, R0805
R17, 45.72, 104.78, 270.00, 1k, R0805
R18, 45.72, 95.25, 90.00, 100k, R0805
R19, 34.50, 87.29, 90.00, 1k, R0805
R2, 33.02, 104.78, 270.00, 47k, R0805
R20, 45.13, 79.97, 270.00, 100k, R0805
R21, 19.05, 4.83, 180.00, 100k, R0805
R22, 13.97, 59.56, 0.00, 47k, R0805
R23, 33.02, 74.30, 270.00, 47k, R0805
R24, 13.97, 66.42, 180.00, 12k, R0805
R25, 24.99, 67.85, 90.00, 12k, R0805
R26, 33.02, 63.50, 270.00, 470r, R0805
R27, 13.97, 64.14, 0.00, 470r, R0805
R28, 13.00, 15.24, 180.00, 100k, R0805
R29, 35.31, 63.50, 270.00, 470r, R0805
R3, 13.97, 97.54, 180.00, 12k, R0805
R30, 13.97, 61.85, 0.00, 470r, R0805
R31, 17.06, 15.24, 180.00, 100k, R0805
R32, 20.45, 74.42, 90.00, 30k, R0805
R33, 6.35, 67.31, 270.00, 47k, R0805
R34, 13.97, 57.28, 0.00, 30k, R0805
R35, 6.35, 52.07, 90.00, 47k, R0805
R36, 21.21, 15.24, 180.00, 1k, R0805
R37, 45.91, 56.77, 270.00, 220k, R0805
R38, 30.43, 54.92, 180.00, 220k, R0805
R39, 45.72, 74.30, 270.00, 1k, R0805
R4, 25.02, 98.09, 90.00, 12k, R0805
R40, 45.72, 64.77, 90.00, 100k, R0805
R41, 34.21, 56.77, 90.00, 1k, R0805
R42, 45.21, 49.40, 270.00, 100k, R0805
R43, 13.93, 29.65, 0.00, 47k, R0805
R44, 33.02, 43.82, 270.00, 47k, R0805
R45, 13.97, 36.58, 180.00, 12k, R0805
R46, 25.02, 37.13, 90.00, 12k, R0805
R47, 32.91, 33.03, 270.00, 470r, R0805
R48, 13.97, 34.29, 0.00, 470r, R0805
R49, 35.10, 33.02, 270.00, 470r, R0805
R5, 32.77, 94.62, 270.00, 470r, R0805
R50, 13.97, 32.00, 0.00, 470r, R0805
R51, 20.45, 43.94, 90.00, 30k, R0805
R52, 6.35, 36.83, 270.00, 47k, R0805
R53, 13.94, 27.25, 0.00, 30k, R0805
R54, 6.35, 21.59, 90.00, 47k, R0805
R55, 46.14, 25.90, 270.00, 220k, R0805
R56, 30.49, 24.46, 180.00, 220k, R0805
R57, 45.72, 43.82, 270.00, 1k, R0805
R58, 45.72, 34.29, 90.00, 100k, R0805
R59, 34.37, 26.25, 90.00, 1k, R0805
R6, 13.97, 95.25, 0.00, 470r, R0805
R60, 45.17, 18.97, 270.00, 100k, R0805
R7, 35.05, 94.62, 270.00, 470r, R0805
R8, 13.97, 92.96, 0.00, 470r, R0805
R9, 20.45, 104.90, 90.00, 30k, R0805
T1, 28.70, 98.93, 180.00, , SOT23-BEC
T2, 21.59, 99.06, 180.00, , SOT23-BEC
T3, 28.70, 68.45, 180.00, , SOT23-BEC
T4, 21.59, 68.58, 180.00, , SOT23-BEC
T5, 28.70, 37.97, 180.00, , SOT23-BEC
T6, 21.59, 38.10, 180.00, , SOT23-BEC
